,Experience(Yrs),JAVASCRIPT,HTML,CSS,JAVA,PYTHON,ANGULAR,REACTJS,C++,PHP,MYSQL,MACHINE LEARNING,C#,BOOTSTRAP,NOSQL/PostgreSQL,RUBY,NODE.JS,ORACLE,CREATIVE,LEADERSHIP,PASSION,TEAMWORK,COMMUNICATION,ANALYTICAL,DEVELOPER TYPE,GRADE,SPECIALIZATION
0,18,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,False,3.0,Full-Stack(Level-1),None
1,1,True,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True,False,1.0,Frontend(Level-3),Frontend
2,21,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,True,False,False,2.0,Backend(Level-2),None
3,22,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,False,False,2.0,Backend(Level-2),None
4,16,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False,3.0,Full-Stack(Level-1),None
5,16,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,True,False,2.0,Backend(Level-2),None
6,7,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,2.0,Backend(Level-2),None
7,5,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,3.0,Full-Stack(Level-1),None
8,10,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False,2.0,Backend(Level-2),None
9,7,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,2.0,Backend(Level-2),None
10,16,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,2.0,Backend(Level-2),None
11,15,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2.0,Backend(Level-2),None
12,22,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,3.0,Full-Stack(Level-1),None
13,11,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,2.0,Backend(Level-2),None
14,20,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,3.0,Full-Stack(Level-1),None
15,14,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,True,False,2.0,Backend(Level-2),None
16,3,True,True,True,True,False,True,True,True,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,3.0,Full-Stack(Level-1),None
17,14,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,2.0,Backend(Level-2),None
18,1,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,True,True,3.0,Full-Stack(Level-1),None
19,3,True,True,True,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,False,True,True,False,3.0,Full-Stack(Level-1),None
20,5,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2.0,Backend(Level-2),None
21,4,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,True,True,False,False,3.0,Full-Stack(Level-1),None
22,4,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3.0,Full-Stack(Level-1),None
23,1,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,True,False,3.0,Full-Stack(Level-1),None
24,2,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,2.0,Backend(Level-2),None
25,8,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,3.0,Full-Stack(Level-1),None
26,22,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True,False,False,2.0,Backend(Level-2),None
27,3,False,True,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,3.0,Full-Stack(Level-2),None
28,3,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,3.0,Full-Stack(Level-1),None
29,3,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,2.0,Backend(Level-1),None
30,2,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False,1.0,Frontend(Level-1),None
31,10,True,True,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False,True,False,False,True,True,3.0,Full-Stack(Level-1),None
32,6,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,True,False,False,3.0,Full-Stack(Level-1),None
33,2,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,False,True,False,True,False,True,3.0,Full-Stack(Level-1),None
34,5,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,True,False,True,3.0,Full-Stack(Level-1),None
35,2,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,2.0,Backend(Level-2),None
36,4,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,3.0,Full-Stack(Level-1),None
37,6,True,True,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,True,True,True,False,3.0,Full-Stack(Level-1),None
38,4,True,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,3.0,Full-Stack(Level-1),None
39,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,3.0,Full-Stack(Level-1),None
40,2,True,True,True,False,False,False,False,False,True,True,True,False,False,False,True,True,True,True,False,True,True,False,False,3.0,Full-Stack(Level-1),None
41,5,True,True,True,False,True,False,False,True,True,True,False,False,False,False,True,True,True,False,False,True,True,False,False,3.0,Full-Stack(Level-1),None
42,5,True,True,True,True,False,False,False,False,True,True,False,False,False,False,True,True,True,False,True,False,True,True,True,3.0,Full-Stack(Level-1),None
43,3,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,True,False,True,False,True,True,False,3.0,Full-Stack(Level-1),None
44,9,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,2.0,Backend(Level-2),None
45,16,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,3.0,Full-Stack(Level-1),None
46,2,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,3.0,Full-Stack(Level-1),None
47,1,False,False,True,False,False,True,False,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False,True,3.0,Full-Stack(Level-1),None
48,9,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,3.0,Full-Stack(Level-1),None
49,3,False,False,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,2.0,Backend(Level-2),None
50,2,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,3.0,Full-Stack(Level-1),None
51,4,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,3.0,Full-Stack(Level-1),None
52,2,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,True,True,3.0,Full-Stack(Level-1),None
53,4,True,True,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,True,True,False,False,3.0,Full-Stack(Level-1),None
54,3,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,2.0,Backend(Level-2),None
